	statussummary	status	asm	jira	sample	accession	species	coi	organelle	uli	common name	sex	genomic sex	ploidy	taxon	genus	family	order	phylum	BioSample	BioProject	darwin	vgp_orders	vgp_plus	asg	erga	25g	britain&ireland	dnazoo	cichlids	BADASS	rodents	jiggins	murchison	R&D	protist-microalgae	UKbutterflies	sts size (Mb)	est. size (Mb)	htzgy (%)	rep frac (%)	long read cov (gscope)	long read cov (sts)	10XG cov (gscope)	10XG cov (sts)	last_data	sts pacbio status (new)	sts hic status (new)	hic_from	PacBio	ONT	10XG	Htag	BioNano	HiC	RNAseq	IsoSeq	note or paper	raw data sub	submission todo	contig N50 (Mb)	contig count	scaffold N50 (Mb)	scaffold count	longest (Mb)	length (Mb)	BUSCO	QV	completeness	pipeline status	notes	runs
	6 data generation	63_lr_topup_hic			drAlcArve9		Alchemilla arvensis				parsley-piert	H			57945	Alchemilla	Rosaceae	Rosales	Streptophyta	SAMEA9121836		1						1										411					4			2021-11-30	IN_PROGRESS	COMPLETE	drAlcArve10	●					●																	
	6 data generation	63_lr_topup_hic			drEroMosc1		Erodium moschatum				musk stork's-bill	H			337392	Erodium	Geraniaceae	Geraniales	Tracheophyta	SAMEA9143050		1						1										939					3			2021-11-30	IN_PROGRESS	COMPLETE	drEroMosc1	●					●																	
	6 data generation	63_lr_topup_hic			drTriPrat1		Trifolium pratense				red clover	H			57577	Trifolium	Fabaceae	Fabales	Tracheophyta	SAMEA9143101		1						1										469					7			2021-12-17	IN_PROGRESS	COMPLETE	drTriPrat2	●					●																	
	6 data generation	63_lr_topup_hic			xbVenCorr1		Venerupis corrugata				pullet carpet shell	U			1028563	Venerupis	Veneridae	Venerida	Mollusca	SAMEA8724663		1				1		1										1,741					0			2021-08-06	IN_PROGRESS	COMPLETE	xbVenCorr3	●					●																	
	6 data generation	63_lr_topup_hic			ddBraOler1		Brassica oleracea				wild cabbage	H			3712	Brassica	Brassicaceae	Brassicales	Tracheophyta	SAMEA7521711		1						1										704	674	1.1	53		0	64		2021-08-16	IN_PROGRESS	COMPLETE	ddBraOler1	●		●			●																	
	6 data generation	63_lr_topup_hic			ipChlTrip1		Chloroperla tripunctata					U			466662	Chloroperla	Chloroperlidae	Plecoptera	Arthropoda	SAMEA9065842		1						1										2,602					5			2021-07-30	IN_PROGRESS	COMPLETE	ipChlTrip2	●					●																	
	6 data generation	63_lr_topup_hic			icHydFusc1		Hydrobius fuscipes					U			290645	Hydrobius	Hydrophilidae	Coleoptera	Arthropoda	SAMEA9065841		1						1										1,447					0		54	2021-07-30	IN_PROGRESS	COMPLETE	icHydFusc1	●		●			●																	
	6 data generation	63_lr_topup_hic			iiChaVill1		Chaetopteryx villosa					U			1203598	Chaetopteryx	Limnephilidae	Trichoptera	Arthropoda	SAMEA9065828		1						1										478					0			2021-09-11	IN_PROGRESS	COMPLETE	iiChaVill1	●					●																	
	6 data generation	63_lr_topup_hic			qqEnoLati1		Enoplognatha latimana					F			1508140	Enoplognatha	Theridiidae	Araneae	Arthropoda	SAMEA9066039		1						1										2,807	3,556	2.0	60		15	17	34	2021-11-22	IN_PROGRESS	COMPLETE	qqEnoLati1	●		●			●																	
	6 data generation	63_lr_topup_hic			ihLepOcci1		Leptoglossus occidentalis					M			236887	Leptoglossus	Coreidae	Hemiptera	Arthropoda	SAMEA8534414		1						1										3,237					2			2022-03-21	IN_PROGRESS	COMPLETE	ihLepOcci1	●					●																	
	6 data generation	63_lr_topup_hic			ioChaViri1		Chalcolestes viridis					M			126245	Chalcolestes	Lestidae	Odonata	Arthropoda	SAMEA9066018		1						1										627	1,234	0.5	32		14	61	195	2021-08-06	IN_PROGRESS	COMPLETE	ioChaViri1	●		●			●																	
	6 data generation	63_lr_topup_hic			idAntPluv1		Anthomyia pluvialis					U			259846	Anthomyia	Anthomyiidae	Diptera	Arthropoda	SAMEA8603163		1						1										714					20	-	111	2021-06-28	IN_PROGRESS	COMPLETE	idAntPluv1	●		●			●																	
	6 data generation	63_lr_topup_hic			daBudDavi1		Buddleja davidii					H			28540	Buddleja	Scrophulariaceae	Lamiales	Streptophyta	SAMEA7522522		1						1										1,545	1,218	1.9	76		3	39		2021-07-20	IN_PROGRESS	COMPLETE	daBudDavi1	●		●			●																	
	6 data generation	63_lr_topup_hic			ddLysVulg1		Lysimachia vulgaris					H			191068	Lysimachia	Primulaceae	Ericales	Tracheophyta	SAMEA7522398		1						1										2,259	2,070	2.0	60		0	27		2021-07-28	IN_PROGRESS	COMPLETE	ddLysVulg1	●		●			●																	
	6 data generation	63_lr_topup_hic			drGeuRiva1		Geum rivale					H			148897	Geum	Rosaceae	Rosales	Tracheophyta	SAMEA7522402		1						1										1,262					9			2021-11-12	IN_PROGRESS	COMPLETE	drGeuRiva1	●					●																	
	6 data generation	63_lr_topup_hic		trio	bPhaAeh3		Phaethon aethereus				red-billed tropicbird	F			37045	Phaethon	Phaethontidae	Pelecaniformes	Chordata	SAMEA8228673		1						1										1,325					0			2021-09-21	IN_PROGRESS	COMPLETE	bPhaAeh3	●					●																	
	6 data generation	63_lr_topup_hic			daKnaArve1		Knautia arvensis				field scabious	H			105271	Knautia	Caprifoliaceae	Dipsacales	Tracheophyta	SAMEA9143098		1						1										7,002					14		40	2022-02-13	IN_PROGRESS	COMPLETE	daKnaArve1	●		●			●																	
	6 data generation	63_lr_topup_hic		ploidy	daVerSpic1		Veronica spicata					H			165318	Veronica	Plantaginaceae	Lamiales	Tracheophyta	SAMEA7522406		1						1										1,623					21			2021-08-06	IN_PROGRESS	COMPLETE	daVerSpic1	●					●																	
	6 data generation	63_lr_topup_hic			daVibLant1		Viburnum lantana				way-fearing tree	H			237945	Viburnum	Adoxaceae	Dipsacales	Tracheophyta	SAMEA9143074		1						1										4,557					1			2022-01-10	IN_PROGRESS	COMPLETE	daVibLant1	●					●																	
	6 data generation	63_lr_topup_hic			dmCheMaju1		Chelidonium majus					H			71251	Chelidonium	Papaveraceae	Ranunculales	Eudicot	SAMEA7522512		1						1										1,232					14	35		2021-08-09	IN_PROGRESS	COMPLETE	dmCheMaju1	●		●			●																	
	6 data generation	63_lr_topup_hic			ilCydPers1		Cydalima perspectalis	3			box-tree moth	U			1309588	Cydalima	Crambidae	Lepidoptera	Arthropoda	SAMEA7521513		1						1										601	505	1.3	25		4	70	98	2022-03-20	IN_PROGRESS	COMPLETE	ilCydPers1	●		●			●	●																
	6 data generation	63_lr_topup_hic			qmOniAsel2		Oniscus asellus	3			common woodlouse	H			96861	Oniscus	Oniscidae	Isoppoda	Arthropoda	SAMEA7524241		1						1										8,411					5		6	2022-03-18	IN_PROGRESS	COMPLETE	qmOniAsel2	●		●			●	●																
	6 data generation	63_lr_topup_hic			veEquPalu1		Equisetum palustre	3				H			113538	Equisetum	Equisetaceae	Equisetales	Polypodiophyta	SAMEA7522515		1						1										13,682					11	26	43	2021-12-05	IN_PROGRESS	COMPLETE	veEquPalu1	●		●			●	●																
	6 data generation	63_lr_topup_hic			voPolVulg1		Polypodium vulgare					H			58048	Polypodium	Polypodiaceae	Polypodiales	Polypodiophyta	SAMEA7522518		1						1										22,494	16,837	0.2	60		4	26	41	2022-01-30	IN_PROGRESS	COMPLETE	voPolVulg1	●		●			●																	
	6 data generation	63_lr_topup_hic			qmCanPagu1		Cancer pagurus				edible crab	M			6755	Cancer	Cancridae	Decapoda	Arthropoda	SAMEA7536710		1						1										2,386						-		2021-05-03	IN_PROGRESS	COMPLETE	qmCanPagu1	●		●			●	●																
	6 data generation	63_lr_topup_hic			idRhaTrin1		Rhagio tringarius				marsh snipefly	U			1720744	Rhagio	Rhagionidae	Diptera	Arthropoda	SAMEA7746452		1						1										862								2021-06-21	IN_PROGRESS	COMPLETE	idRhaTrin1	●		●			●																	
	6 data generation	63_lr_topup_hic			ihElaInte1		Elasmostethus interstinctus				birch shieldbug	U			1191083	Elasmostethus	Acanthosomatidae	Hemiptera	Arthropoda	SAMEA8563701		1						1										987	987	0.8	40			114	59	2021-06-28	IN_PROGRESS	COMPLETE	ihElaInte1	●		●			●																	
	6 data generation	63_lr_topup_hic			drAntVuln1		Anthyllis vulneraria					H			118891	Anthyllis	Fabaceae	Fabales	Tracheophyta	SAMEA9335120		1						1										421					6			2021-09-30	IN_PROGRESS	COMPLETE	drAntVuln1	●					●																	
	6 data generation	63_lr_topup_hic			idGymViri1		Gymnocheta viridis								631317	Gymnocheta	Tachinidae	Diptera	Arthropoda	SAMEA9359420		1						1										696					3			2021-10-08	IN_PROGRESS	COMPLETE	idGymViri1	●					●																	
	6 data generation	63_lr_topup_hic			iySphHyal1		Sphecodes hyalinatus				furry-bellied blood bee	M			1190789	Sphecodes	Halictidae	Hymenoptera	Arthropoda	SAMEA7746757		1						1										717	1,029	0.2	61			43		2022-02-09	IN_PROGRESS	COMPLETE	iySphHyal2	●		●			●																	
	6 data generation	63_lr_topup_hic			drAlcAlpi1		Alchemilla alpina					H			57943	Alchemilla	Rosaceae	Rosales	Tracheophyta	SAMEA9335102		1						1										1,800					1			2021-08-26	IN_PROGRESS	COMPLETE	drAlcAlpi1	●					●																	
	6 data generation	63_lr_topup_hic			idHebNigi1		Hebecnema nigricolor					U			1293374	Hebecnema	Muscidae	Diptera	Arthropoda	SAMEA8603148		1						1										829					22			2021-11-29	IN_PROGRESS	COMPLETE	idHebNigi1	●					●																	
	6 data generation	63_lr_topup_hic			xgCepHort1		Cepaea hortensis				white-lipped snail	H			97200	Cepaea	Helicidae	Stylommatophora	Mollusca	SAMEA9312581		1						1										3,017					2			2022-03-16	IN_PROGRESS	COMPLETE	xgCepHort2	●					●																	
	6 data generation	63_lr_topup_hic			ddDapMeze1		Daphne mezereum				mezereon	H			66680	Daphne	Thymelaeaceae	Malvales	Tracheophyta	SAMEA9143066		1						1										3,208					6			2021-12-03	IN_PROGRESS	COMPLETE	ddDapMeze1	●					●																	
	6 data generation	63_lr_topup_hic			daSalVerb1		Salvia verbenaca				wild clary	H			268912	Salvia	Lamiaceae	Lamiales	Tracheophyta	SAMEA9143092		1						1										1,535					0			2022-01-19	IN_PROGRESS	COMPLETE	daSalVerb1	●					●	●																
	6 data generation	63_lr_topup_hic			dcAgrGith1	KDTOL10241	Agrostemma githago				corn cockle	H			39848	Agrostemma	Caryophyllaceae	Caryophyllales	Tracheophyta	SAMEA9335250		1						1										2,249					0			2022-03-26	IN_PROGRESS	COMPLETE	dcAgrGith1	●					●																	
	6 data generation	63_lr_topup_hic			dcRumAcet1	KDTOL10240	Rumex acetosa				sorrel	H			41241	Rumex	Polygonaceae	Caryophyllales	Tracheophyta	SAMEA9335249		1						1										3,423					4			2022-03-28	IN_PROGRESS	COMPLETE	dcRumAcet1	●					●																	
	6 data generation	63_lr_topup_hic			drLigScot1	EDTOL01358	Ligusticum scoticum				Scots lovage	H			49554	Ligusticum	Apiaceae	Apiales	Tracheophyta	SAMEA9335107		1						1										3,247					0			2021-09-11	IN_PROGRESS	COMPLETE	drLigScot1	●																						
	6 data generation	63_lr_topup_hic			ilPoePopu1		Poecilocampa populi				December moth	F			475346	Poecilocampa	Lasiocampidae	Lepidoptera	Arthropoda	SAMEA8603213		1						1										822	822	1.5	42		7	53	136	2021-11-23	IN_PROGRESS	COMPLETE	ilPoePopu1	●		●			●	●																
	6 data generation	63_lr_topup_hic			dcSilDioi1		Silene dioica				red campion	H			39879	Silene	Caryophyllaceae	Caryophyllales	Tracheophyta	SAMEA9143086		1						1										3,012					2			2022-01-10	IN_PROGRESS	COMPLETE	dcSilDioi1	●					●																	
	6 data generation	63_lr_topup_hic			laAliPlan1	KDTOL10264	Alisma plantago-aquatica				common water plantain	H			15000	Alisma	Alismataceae	Alismatales	Tracheophyta	SAMEA9335272		1						1										10,572					2			2022-05-05	UNKNOWN	COMPLETE	laAliPlan1	●					●																	
	6 data generation	63_lr_topup_hic			idLeuPers2	Ox001297	Leucophora personata					F			2870498	Leucophora	Anthomyiidae	Diptera	Arthropoda	SAMEA10166777		1						1										1,110					11			2022-03-26	IN_PROGRESS	COMPLETE	idLeuPers2	●					●																	
	6 data generation	63_lr_topup_hic			icGasViri1		Gastrophysa viridula				green dock beetle	F			154015	Gastrophysa	Chrysomelidae	Coleoptera	Arthropoda	SAMEA7520532		1						1										407	407	0.6	33		12	89		2020-10-22	UNKNOWN	COMPLETE	icGasViri1	●		●			●																	
	6 data generation	63_lr_topup_hic			fSolSol7		Solea solea				common sole	M			90069	Solea	Soleidae	Pleuronectiformes	Chordata	SAMEA10984644						1												714					2			2022-02-21	UNKNOWN	IN_PROGRESS	fSolSol3	●					●																	
	6 data generation	63_lr_topup_hic			idDysTrig1	NHMUK014438341	Dysmachus trigonus					U			468725	Dysmachus	Asilidae	Diptera	Arthropoda	SAMEA11025082		1						1										273					2			2022-03-27	IN_PROGRESS	COMPLETE	idDysTrig1	●					●																	
	6 data generation	63_lr_topup_hic			idLeuObtu2	Ox001285	Leucophora obtusa					F			2588525	Leucophora	Anthomyiidae	Diptera	Arthropoda	SAMEA10166765		1						1										714					26			2022-04-22	IN_PROGRESS	COMPLETE	idLeuObtu2	●					●																	
	6 data generation	63_lr_topup_hic			idRhaAnnu1	Ox001531	Rhagio annulatus				wood snipefly	M			2867108	Rhagio	Rhagionidae	Diptera	Arthropoda	SAMEA10167083		1						1										836					29			2022-04-27	IN_PROGRESS	COMPLETE	idRhaAnnu1	●					●																	
	6 data generation	63_lr_topup_hic			idPsiMerd1	Ox001509	Psila merdaria					F			2867107	Psila	Psilidae	Diptera	Arthropoda	SAMEA10167063		1						1										260					21			2022-04-28	IN_PROGRESS	COMPLETE	idPsiMerd1	●					●																	
	6 data generation	63_lr_topup_hic			uhDiaLuth1		Diacronema lutheri					U			2081491	Diacronema	Pavlovaceae	Pavlovales	Haptophyta	SAMEA7524511		1						1								1		275								2022-01-10	UNKNOWN	COMPLETE	uhDiaLuth1	●		●			●	●																
	6 data generation	63_lr_topup			ilYpsAlpe1		Ypsolopha alpella				barred smudge	U			1101067	Ypsolopha	Ypsolophidae	Lepidoptera	Arthropoda	SAMEA7746633		1						1										776	776	0.5	43	17	22	47		2021-05-25	COMPLETE	UNKNOWN		●		●																				
	6 data generation	63_lr_topup		DTR-43	ihNabFeru1		Nabis ferus				field damsel bug	U			347965	Nabis	Nabidae	Hemiptera	Arthropoda	SAMEA7520355		1						1										489				-	21	-		2021-03-25	COMPLETE	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			idThrSemi1		Thricops semicinereus					U			253994	Thricops	Muscidae	Diptera	Arthropoda	SAMEA7746770		1						1										606	1,392	2.7	64	26	69	28		2021-08-24	COMPLETE	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			idMelViri1	Ox000908	Melinda viridicyanea				dark-palped Melinda	U			170908	Melinda	Calliphoridae	Diptera	Arthropoda	SAMEA8603146		1						1										658	1,072	1.3	43	18	31			2021-12-05	COMPLETE	UNKNOWN		●																						
	6 data generation	63_lr_topup			dcReyJapo1		Reynoutria japonica					H			488216	Reynoutria	Polygonaceae	Caryophyllales	Streptophyta	SAMEA7522172		1						1										4,851					21			2021-09-03	COMPLETE	UNKNOWN		●																						
	6 data generation	63_lr_topup		odd profile	idSarCarn1		Sarcophaga carnaria				common flesh fly	M			226135	Sarcophaga	Sarcophagidae	Diptera	Arthropoda	SAMEA7746444		1						1										694								2021-05-11	COMPLETE	UNKNOWN		●																						
	6 data generation	63_lr_topup			qqOdiSpin1		Odiellus spinosus					U			2803876	Odiellus	Phalangiidae	Opiliones	Arthropoda	SAMEA9066027		1						1										14								2021-07-12	COMPLETE	UNKNOWN		●																						
	6 data generation	63_lr_topup			idMorSimp1		Morellia simplex					U			559659	Morellia	Muscidae	Diptera	Arthropoda	SAMEA8603160		1						1										946				-	12			2021-07-05	COMPLETE	IN_PROGRESS		●																						
	6 data generation	63_lr_topup			idPhaTugu1		Phaonia tuguriorum					U			253432	Phaonia	Muscidae	Diptera	Arthropoda	SAMEA8603144		1						1										829	1,540	1.4	40	20	40	39	120	2021-07-02	COMPLETE	IN_PROGRESS		●		●																				
	6 data generation	63_lr_topup			idPhaRufv1		Phaonia rufiventris					U			2823191	Phaonia	Muscidae	Diptera	Arthropoda	SAMEA8603162		1						1										829				-	27			2021-06-22	COMPLETE	IN_PROGRESS		●		●																				
	6 data generation	63_lr_topup			cbIsoMyos1		Isothecium myosuroides				mouse-tail moss	U			245335	Isothecium	Lembophyllaceae	Hypnales	Bryophyta	SAMEA7515979		1						1										450	419	0.2	29	21	25	91		2021-05-26	COMPLETE	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			cbNecPumi1		Neckera pumila				dwarf neckera	U			860203	Neckera	Neckeraceae	Hypnales	Bryophyta	SAMEA7515976		1						1										421	386	0.2	24	22	26	82		2021-05-26	COMPLETE	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			daAtrBela1		Atropa belladonna	3			belladonna	H			33113	Atropa	Solanaceae	Solanales	Eudicot	SAMEA7521818		1						1										2,103	1,800	0.0	45	25	22	51		2021-03-25	COMPLETE	IN_PROGRESS		●		●																				
	6 data generation	63_lr_topup			daThySerp1		Thymus serpyllum					H			204219	Thymus	Lamiaceae	Lamiales	Eudicot	SAMEA7522401		1						1										1,242				-	20	51		2021-03-25	COMPLETE	UNKNOWN		●		●																				
	6 data generation	63_lr_topup		odd profile	idActLami1		Actia lamia					U			1918022	Actia	Tachinidae	Diptera	Arthropoda	SAMEA7746748		1						1										696				-	38			2021-06-01	COMPLETE	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			idBlaPlum1		Blaesoxipha plumicornis					U			2795672	Blaesoxipha	Sarcophagidae	Diptera	Arthropoda	SAMEA7746591		1						1										694	889	2.9	55	19	26	53		2021-05-25	COMPLETE	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			idChrCemi1		Chrysogaster coemiteriorum	2			grey-sided chrysogaster	U			2795675	Chrysogaster	Syrphidae	Diptera	Arthropoda	SAMEA7746608		1						1										528				-	56			2021-06-01	COMPLETE	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			idHelQuar1		Helina quadrum					U			2795677	Helina	Muscidae	Diptera	Arthropoda	SAMEA8603129		1						1										829				-	35	-		2021-06-22	COMPLETE	IN_PROGRESS		●		●																				
	6 data generation	63_lr_topup			idSapQuap1		Sapromyzosoma quadripunctata					U			1825021	Sapromyzosoma	Lauxaniidae	Diptera	Arthropoda	SAMEA7746607		1						1										260	867	2.8	47	22	46	44		2021-06-01	COMPLETE	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			ihCixNerv1		Cixius nervosus					U			491266	Cixius	Cixiidae	Hemiptera	Arthropoda	SAMEA7696446		1						1										601				-	28	-		2021-03-25	COMPLETE	UNKNOWN		●		●																				
	6 data generation	63_lr_topup		DTR-41	ihHimMirm1		Himacerus mirmicoides	3			ant damselbug	U			347979	Himacerus	Nabidae	Hemiptera	Arthropoda	SAMEA7520349		1						1										574				-	84	-		2021-03-28	COMPLETE	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			ilXesTria1		Xestia triangulum				double square-spot	U			988048	Xestia	Noctuidae	Lepidoptera	Arthropoda	SAMEA7701437		1						1										773	773	1.0	43	19	20			2021-03-21	COMPLETE	UNKNOWN		●																						
	6 data generation	63_lr_topup			iyPolTubr1		Polysphincta tuberosa					F			1830392	Polysphincta	Ichneumonidae	Hymenoptera	Arthropoda	SAMEA7849261		1						1										639	639	0.4	39	13	64			2021-04-17	COMPLETE	UNKNOWN		●																						
	6 data generation	63_lr_topup			idSarHaem1		Sarcophaga haemorrhoa					M			1806703	Sarcophaga	Sarcophagidae	Diptera	Arthropoda	SAMEA8603158		1						1										687	687	2.3	47	26	28	52	100	2021-11-30	COMPLETE	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			ilColCory1		Colocasia coryli				nut-tree tussock	U			987903	Colocasia	Noctuidae	Lepidoptera	Arthropoda	SAMEA7701462		1						1										782	793	0.9	34	13	14			2021-08-19	IN_PROGRESS	UNKNOWN		●																						
	6 data generation	63_lr_topup			ihIssCole1		Issus coleoptratus					U			1897835	Issus	Issidae	Hemiptera	Arthropoda	SAMEA7849244		1						1										601	1,730	0.6	44	-	23	34	155	2021-06-28	IN_PROGRESS	COMPLETE		●		●																				
	6 data generation	63_lr_topup			idLopCine1		Lophosceles cinereiventris					U			1291974	Lophosceles	Muscidae	Diptera	Arthropoda	SAMEA7746787		1						1										829	1,341	2.2	54	21	36	34		2021-09-05	IN_PROGRESS	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			drGerLuci1		Geranium lucidum				shining cranesbill	H			379949	Geranium	Geraniaceae	Geraniales	Tracheophyta	SAMEA9143105		1						1										831					1			2021-08-29	IN_PROGRESS	IN_PROGRESS		●																						
	6 data generation	63_lr_topup			daBorOffi1		Borago officinalis					H			13363	Borago	Boraginaceae	Boraginales	Streptophyta	SAMEA7521932		1						1										1,604	1,732	0.4	75		2	35		2021-08-29	IN_PROGRESS	IN_PROGRESS		●		●																				
	6 data generation	63_lr_topup			drCraLaev2		Crataegus laevigata				midland hawthorn	H			298643	Crataegus	Rosaceae	Rosales	Tracheophyta	SAMEA9143073		1						1										831					11			2021-08-26	IN_PROGRESS	IN_PROGRESS		●																						
	6 data generation	63_lr_topup			urCalJuba1		Calliblepharis jubata				false eyelash weed	U			31414	Calliblepharis	Cystocloniaceae	Gigartinales	Rhodophyta	SAMEA8725279		1						1										156					0			2021-08-21	IN_PROGRESS	UNKNOWN		●																						
	6 data generation	63_lr_topup			idPheCine1		Pherbellia cinerella					U			385270	Pherbellia	Sciomyzidae	Diptera	Arthropoda	SAMEA7746599		1						1										285	1,219	4.3	70		0	34		2021-08-18	IN_PROGRESS	UNKNOWN		●		●			●																	
	6 data generation	63_lr_topup			idHylVari1		Hylemya variata					U			559651	Hylemya	Anthomyiidae	Diptera	Arthropoda	SAMEA7746590		1						1										714					10			2021-08-16	IN_PROGRESS	UNKNOWN		●																						
	6 data generation	63_lr_topup			lsAllAmpe1		Allium ampeloprasum				leek	H			4681	Allium	Amaryllidaceae	Asparagales	Tracheophyta	SAMEA9143072		1						1										29,340					0			2021-12-18	IN_PROGRESS	UNKNOWN		●																						
	6 data generation	63_lr_topup			dmCleVita1		Clematis vitalba					H			37490	Clematis	Ranunculaceae	Ranunculales	Tracheophyta	SAMEA7522519		1						1										9,330	8,788	0.2	52	-	0	38	57	2021-09-03	IN_PROGRESS	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			lsAllTriq1		Allium triquetrum				three-cornered leek	H			74902	Allium	Amaryllidaceae	Asparagales	Streptophyta	SAMEA9143056		1						1										18,543					0			2021-07-23	IN_PROGRESS	UNKNOWN		●																						
	6 data generation	63_lr_topup			daAdoMosc1		Adoxa moschatellina				moschatel	H			4208	Adoxa	Adoxaceae	Dipsacales	Tracheophyta	SAMEA9143044		1						1										15,257				-	0			2021-09-21	IN_PROGRESS	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			veEquTelm1		Equisetum telmateia					H			3260	Equisetum	Equisetaceae	Equisetales	Tracheophyta	SAMEA7522171		1						1										14,073	13,024	0.3	50			21		2021-07-25	IN_PROGRESS	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			daOroHede1		Orobanche hederae					H			79235	Orobanche	Orobanchaceae	Lamiales	Tracheophyta	SAMEA7521713		1						1										2,768				-	4			2021-07-26	IN_PROGRESS	IN_PROGRESS		●		●																				
	6 data generation	63_lr_topup			lpBriMedi1		Briza media					H			281077	Briza	Poaceae	Poales	Tracheophyta	SAMEA7535969		1						1										3,301				-	2			2021-07-26	IN_PROGRESS	UNKNOWN		●																						
	6 data generation	63_lr_topup			daLamPurp1		Lamium purpureum				red dead-nettle	H			53164	Lamium	Lamiaceae	Lamiales	Tracheophyta	SAMEA9143029		1						1										792					2			2021-08-19	IN_PROGRESS	UNKNOWN		●																						
	6 data generation	63_lr_topup			daCruLaev1		Cruciata laevipes				crosswort	H			29786	Cruciata	Rubiaceae	Gentianales	Tracheophyta	SAMEA9143078		1						1										372	332	0.8	51	14	13			2021-07-30	IN_PROGRESS	UNKNOWN		●																						
	6 data generation	63_lr_topup			daPenSemp1		Pentaglottis sempervirens				green alkanet	H			203760	Pentaglottis	Boraginaceae	Boraginales	Streptophyta	SAMEA9143031		1						1										1,046				-	5			2021-08-19	IN_PROGRESS	UNKNOWN		●																						
	6 data generation	63_lr_topup			dmAnePuls1		Anemone pulsatilla					H			445234	Anemone	Ranunculaceae	Ranunculales	Eudicot	SAMEA7522400		1						1										17,017					6		39	2021-09-21	IN_PROGRESS	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			ihKleRese2		Kleidocerys resedae				birch catkin bug	U			680436	Kleidocerys	Lygaeidae	Hemiptera	Arthropoda	SAMEA7520351		1						1										5,281					2			2021-08-03	IN_PROGRESS	UNKNOWN		●																						
	6 data generation	63_lr_topup			veEquHyem1		Equisetum hyemale					H			3262	Equisetum	Equisetaceae	Equisetales	Tracheophyta	SAMEA7535994		1						1										29,751					1			2021-08-09	IN_PROGRESS	UNKNOWN		●																						
	6 data generation	63_lr_topup			qmCraPseu4		Crangonyx pseudogracilis				northern river crangonyctid	U			326568	Crangonyx	Crangonyctidae	Amphipoda	Arthropoda	SAMEA7521183		1						1										5,416					0			2021-08-22	IN_PROGRESS	IN_PROGRESS		●																						
	6 data generation	63_lr_topup			dcSilLati1		Silene latifolia				white campion	H			37657	Silene	Caryophyllaceae	Caryophyllales	Tracheophyta	SAMEA9143087		1						1										2,787					10			2021-09-13	IN_PROGRESS	UNKNOWN		●																						
	6 data generation	63_lr_topup			ilMomOchr1		Mompha ochraceella				buff mompha	U			1858040	Mompha	Momphidae	Lepidoptera	Arthropoda	SAMEA7701454		1						1										601					0			2021-08-12	IN_PROGRESS	UNKNOWN		●																						
	6 data generation	63_lr_topup			drEroMari1		Erodium maritimum					H			337391	Erodium	Geraniaceae	Geraniales	Tracheophyta	SAMEA7535985		1						1										929	874	0.0	44		2	58	88	2021-12-19	IN_PROGRESS	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			dmRanBulb1		Ranunculus bulbosus				bulbous buttercup	H			74828	Ranunculus	Ranunculaceae	Ranunculales	Tracheophyta	SAMEA9143047		1						1										5,477				-	3			2021-10-23	IN_PROGRESS	UNKNOWN		●																						
	6 data generation	63_lr_topup			qqZelLatr1		Zelotes latreillei					F			1872022	Zelotes	Gnaphosidae	Araneae	Arthropoda	SAMEA9066029		1						1										1,369	1,183	1.7	34	-	6	59	85	2021-08-04	IN_PROGRESS	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			ihOpsStac1		Opsius stactogalus					U			1223885	Opsius	Cicadellidae	Hemiptera	Arthropoda	SAMEA9065882		1						1										4,659	1,182	0.6	40		1	98	38	2021-07-27	IN_PROGRESS	UNKNOWN		●																						
	6 data generation	63_lr_topup			daLinBore1		Linnaea borealis					H			77623	Linnaea	Caprifoliaceae	Dipsacales	Tracheophyta	SAMEA7535987		1						1										978				-	0	54	84	2021-07-30	IN_PROGRESS	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			qqDysCroc1		Dysdera crocata					F			58764	Dysdera	Dysderidae	Araneae	Arthropoda	SAMEA9066037		1						1										2,934				-	0	-	32	2021-07-27	IN_PROGRESS	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			qqTibOblo1		Tibellus oblongus					F			336685	Tibellus	Philodromidae	Araneae	Arthropoda	SAMEA9066040		1						1										2,944					16	-	23	2021-11-08	IN_PROGRESS	UNKNOWN		●		●																				
	6 data generation	63_lr_topup			qxPerPerf2		Perforatus perforatus				(an acorn barnacle)	U			1562161	Perforatus	Balanidae	Sessilia	Arthropoda	SAMEA8724783		1						1										1,139					9			2021-06-24	IN_PROGRESS	UNKNOWN		●																						
